college_name,rating,location,courses_offered,tution_fee,exams_accepted,highest_package
Uttaranchal Institute of Technology,4,UTTARAKHAND,B.Tech / B.E.,"₹7,12,000","JEE Main, UK SEE",12
Shree Institute of Technical Education,4.2,ANDHRA PRADESH,B.Tech / B.E.,Get Fee Details,AP EAMCET,
Swami Vivekananda University,3.6,WEST BENGAL,B.Tech / B.E.,"₹2,16,500","JEE Main, WBJEE",5
Al-Habeeb College of Engineering and Technology (AHCET),4.2,TELANGANA,B.Tech / B.E.,Get Fee Details,AP EAMCET,
Chhattisgarh Institute of Technology,4.2,CHATTISGARH,B.Tech / B.E.,"₹2,65,500",-,
Poornima Group of Colleges,4.2,RAJASTHAN,B.Tech / B.E.,Get Fee Details,JEE Main,6
RVS Educational Institutions,4.2,TAMIL NADU,B.Tech / B.E.,Get Fee Details,-,
CMS College of Engineering and Technology,5,TAMIL NADU,B.Tech / B.E.,Get Fee Details,TNEA,
Mekapati Rajamohan Reddy Institute of Technology & Science (MeRITS),4.5,ANDHRA PRADESH,B.Tech / B.E.,"₹1,42,000",-,
"Biluru Gurubasava Mahaswamiji Institute of Technology ,Karnataka - Other",4.2,KARNATAKA,B.Tech / B.E.,"₹3,34,000",-,10
"Vidya Vihar Institute of Technology ,Bihar - Other",4.2,BIHAR,B.Tech / B.E.,"₹3,60,000",-,
SLBS Engineering College,0,RAJASTHAN,B.Tech / B.E.,Get Fee Details,RPET,
Bhaskar Engineering College,4.2,TELANGANA,B.Tech / B.E.,"₹50,000",AP EAMCET,
AM Reddy Memorial College of Engineering and Technology,4.2,ANDHRA PRADESH,B.Tech / B.E.,Get Fee Details,AP EAMCET,
Rayat - Bahra Institute of Engineering and Management,5,PUNJAB,B.Tech / B.E.,"₹2,40,000",-,
Malwa Institute of Science & Technology,4,MADHYA PRADESH,B.Tech / B.E.,"₹2,57,000",PET Madhya Pradesh,28
Prem Prakash Gupta Institute of Management,4.2,UTTAR PRADESH,B.Tech / B.E.,Get Fee Details,UPSEE,
AM Reddy Memorial College of Engineering and Technology,4.2,ANDHRA PRADESH,B.Tech / B.E.,Get Fee Details,AP EAMCET,
"College of Agriculture Engineering, Jalgaon",4.2,MAHARASHTRA,B.Tech / B.E.,"₹2,40,000",-,
VNS Group of Institutions,3.8,MADHYA PRADESH,B.Tech / B.E.,Get Fee Details,JEE Main,
VIT AP University,4.3,ANDHRA PRADESH,B.Tech / B.E.,"₹6,41,000",VITEEE,
Chaitanya Engineering College,4,ANDHRA PRADESH,B.Tech / B.E.,Get Fee Details,AP EAMCET,
Lord Ayyappa Institute of Engineering and Technology,4,TAMIL NADU,B.Tech / B.E.,Get Fee Details,TNEA,
"CIT - Channabasaveshwara Institute Of Technology ,Tumkur",4.2,KARNATAKA,B.Tech / B.E.,"₹3,66,000",-,9
"Shriram College of Agricultural Engineering ,Solapur",4.2,CHATTISGARH,B.Tech / B.E.,"₹3,04,000",-,
"Mangalmay Institute of Engineering and Technology ,Greater Noida",4.2,UTTAR PRADESH,B.Tech / B.E.,"₹3,02,000",-,
Darshan Institute of Engineering and Technology,5,GUJARAT,B.Tech / B.E.,Get Fee Details,"GUJCET, JEE Main",
"Mahatma Gandhi Government Engineering College ,Shimla",4.2,HIMACHAL PRADESH,B.Tech / B.E.,"₹1,20,000",-,
Bhaskar Engineering College,4.2,TELANGANA,B.Tech / B.E.,"₹50,000",AP EAMCET,
"Chhattisgarh College of Agricultural Engineering ,Durg",4.2,CHATTISGARH,B.Tech / B.E.,"₹1,50,000",-,
SGS Institute of Technology and Science,4.2,MADHYA PRADESH,B.Tech / B.E.,Get Fee Details,-,
KLE Institute of Technology,4.8,KARNATAKA,B.Tech / B.E.,Get Fee Details,KCET,11
College of Agricultural Engineering & Technology - Parbhani,4.2,MAHARASHTRA,B.Tech / B.E.,Get Fee Details,-,
University of Agricultural Sciences - Dharwad,3.5,KARNATAKA,B.Tech / B.E.,Get Fee Details,-,
"International Institute of Technology & Business ,Sonepat",4.2,HARYANA,B.Tech / B.E.,"₹2,62,000",-,7
Malla Reddy University Powered by Sunstone Select,4.2,TELANGANA,B.Tech / B.E.,"₹11,50,000",-,
Gurgaon College of Engineering for Women,4.2,HARYANA,B.Tech / B.E.,"₹2,00,000",JEE Main,8
Sivaji College of Engineering and Technology,3,TAMIL NADU,B.Tech / B.E.,"₹2,00,000",-,
Bhaskar Engineering College,4.2,TELANGANA,B.Tech / B.E.,"₹50,000",AP EAMCET,
Shibani Institute of Technical Education,4.2,ODISHA,B.Tech / B.E.,"₹1,38,500",-,
Swarnandhra College of Engineering & Technology,4.5,ANDHRA PRADESH,B.Tech / B.E.,"₹1,40,000",AP EAMCET,
Kaziranga University,3.8,ASSAM,B.Tech / B.E.,Get Fee Details,", JEE Main",7
Vaishnavi Institute of Technology & Science,4.2,MADHYA PRADESH,B.Tech / B.E.,Get Fee Details,"JEE Main, PET Madhya Pradesh",
Miracle Educational Society Group of Institutions,3.2,ANDHRA PRADESH,B.Tech / B.E.,"₹1,75,000",AP EAMCET,
Nimra Institute of Science and Technology,4.2,ANDHRA PRADESH,B.Tech / B.E.,Get Fee Details,AP EAMCET,8
CMR Institute of Technology,4.1,TELANGANA,B.Tech / B.E.,"₹3,00,000","AP EAMCET, JEE Main",12
Dr. KN Modi University,4.2,UTTAR PRADESH,B.Tech / B.E.,Get Fee Details,-,
Padre Conceicao College of Engineering,3.4,GOA,B.Tech / B.E.,"₹5,76,000",-,
Lendi Institute of Engineering and Technology,4.8,ANDHRA PRADESH,B.Tech / B.E.,Get Fee Details,AP EAMCET,
PSR Rengasamy College of Engineering for Women,4.2,TAMIL NADU,B.Tech / B.E.,"₹2,00,000",-,
Newton's Institute of Engineering,3,ANDHRA PRADESH,B.Tech / B.E.,"₹1,72,000",AP EAMCET,
"Mahakal Institute of Technology and Management (MITM, Ujjain)",4.2,MADHYA PRADESH,B.Tech / B.E.,"₹2,35,000",-,
VIT AP University,4.3,ANDHRA PRADESH,B.Tech / B.E.,"₹6,41,000",VITEEE,
Farah Institute of Computer Science,0,TELANGANA,B.Tech / B.E.,Get Fee Details,-,
"Advanced Educational Institutions ,Palwal",4.2,HARYANA,B.Tech / B.E.,"₹2,95,000",-,
Ranippettai Engineering College,4.2,TAMIL NADU,B.Tech / B.E.,Get Fee Details,-,
Gokaran Narvadeshwar Institute of Technology and Management (GNITM),4.2,UTTAR PRADESH,B.Tech / B.E.,Get Fee Details,UPSEE,
"ABR College of Engineering and Technology (ABRCET) ,Prakasam",4.2,ANDHRA PRADESH,B.Tech / B.E.,"₹1,40,000",-,
Rayat Institute of Engineering & Information Technology,3,PUNJAB,B.Tech / B.E.,"₹4,60,000",JEE Main,8
Parthivi College of Engineering and Management,3,CHATTISGARH,B.Tech / B.E.,Get Fee Details,-,
"Tulsiramji Gaikwad-Patil College of Engineering and Technology ,Nagpur",4.2,MAHARASHTRA,B.Tech / B.E.,"₹3,60,000",-,
Vaishnavi Institute of Technology & Science,4.2,MADHYA PRADESH,B.Tech / B.E.,Get Fee Details,"JEE Main, PET Madhya Pradesh",
GCRG Group of Institutions,4.5,UTTAR PRADESH,B.Tech / B.E.,Get Fee Details,UPSEE,
Nimra Institute of Science and Technology,4.2,ANDHRA PRADESH,B.Tech / B.E.,Get Fee Details,AP EAMCET,8
"A1 Global Institute Of Engineering and Technology ,Prakasam",4.2,ANDHRA PRADESH,B.Tech / B.E.,"₹1,40,000",-,
RKDF University,4.2,JHARKHAND,B.Tech / B.E.,"₹4,40,000","JEE Advanced, WBJEE, KCET, OJEE, JEE Main, JEE Main,",11
Chhotu Ram Rural Institute of Technology,3,DELHI NCR,B.Tech / B.E.,"₹1,00,500",-,
G Madegowda Institute of Technology,1,KARNATAKA,B.Tech / B.E.,"₹2,85,500",Highest Package,
"PPG Institute of Technology (PPGIT) ,Coimbatore",4.2,TAMIL NADU,B.Tech / B.E.,"₹1,92,500",-,
Universal College of Engineering and Technology,3.5,ANDHRA PRADESH,B.Tech / B.E.,Get Fee Details,JEE Main,6
Sri Sri University,4.3,ODISHA,B.Tech / B.E.,Get Fee Details,-,
Adarsha College of Engineering,4.2,ODISHA,B.Tech / B.E.,Get Fee Details,", JEE Main",
Techwords Wali Gramodyog Vikas Sansthan's Group of Institutions,4.2,UTTARAKHAND,B.Tech / B.E.,Get Fee Details,"UK SEE, JEE Main",
Universal College of Engineering and Technology,3.5,ANDHRA PRADESH,B.Tech / B.E.,Get Fee Details,JEE Main,6
"Chhattisgarh College of Agricultural Engineering ,Durg",4.2,CHATTISGARH,B.Tech / B.E.,"₹1,50,000",-,
Feroze Gandhi Institute of Engineering & Technology,3.7,UTTAR PRADESH,B.Tech / B.E.,Get Fee Details,UPSEE,
Prem Prakash Gupta Institute of Management,4.2,UTTAR PRADESH,B.Tech / B.E.,Get Fee Details,UPSEE,
Shaaz College of Engineering and Technology,4.2,TELANGANA,B.Tech / B.E.,Get Fee Details,AP EAMCET,
"Chaibasa Engineering College ,Jharkhand - Other",4.2,JHARKHAND,B.Tech / B.E.,"₹2,63,000",-,
"Younus College of Engineering and Technology ,Kollam",4.2,KERALA,B.Tech / B.E.,"₹2,00,000",-,
VIT AP University,4.3,ANDHRA PRADESH,B.Tech / B.E.,"₹6,41,000",VITEEE,
Gokaran Narvadeshwar Institute of Technology and Management (GNITM),4.2,UTTAR PRADESH,B.Tech / B.E.,Get Fee Details,UPSEE,
"Bharat Mishra Sanskrit College ,Chapra",4.2,BIHAR,B.Tech / B.E.,Get Fee Details,-,
Sri Padmavathi College Of Engineering,2.5,TAMIL NADU,B.Tech / B.E.,Get Fee Details,TNEA,
"Canara Engineering College ,Mangalore",4.2,KARNATAKA,B.Tech / B.E.,"₹3,68,000",-,8
Success Assured Institute,4.2,MAHARASHTRA,B.Tech / B.E.,Get Fee Details,-,
Marian Engineering College,4.5,KERALA,B.Tech / B.E.,"₹3,00,000",-,
LVE Saptagiri College of Engineering,4,TAMIL NADU,B.Tech / B.E.,"₹2,00,000",-,
Progressive Engineering College,1,TELANGANA,B.Tech / B.E.,Get Fee Details,AP EAMCET,
Vaagdevi Institute Of Technology And Science,5,ANDHRA PRADESH,B.Tech / B.E.,Get Fee Details,AP EAMCET,
"BRRC'S College of Engineering ,Nashik",4.2,MAHARASHTRA,B.Tech / B.E.,Get Fee Details,-,
"Chhattisgarh Swami Vivekanand Technical University, Bhilai",4.2,CHATTISGARH,B.Tech / B.E.,"₹3,60,000",-,
Aliah University,4.5,WEST BENGAL,B.Tech / B.E.,"₹53,000","JEE Main, WBJEE",
"Amrapali Group of Institutes ,Haldwani",4.2,UTTARAKHAND,B.Tech / B.E.,"₹3,55,000",-,
Shri Ram College of Engineering & Management,4.2,HARYANA,B.Tech / B.E.,Get Fee Details,-,
Vaishnavi Institute of Technology & Science,4.2,MADHYA PRADESH,B.Tech / B.E.,Get Fee Details,"JEE Main, PET Madhya Pradesh",
Vaagdevi Institute Of Technology And Science,5,ANDHRA PRADESH,B.Tech / B.E.,Get Fee Details,AP EAMCET,
VIT AP University,4.3,ANDHRA PRADESH,B.Tech / B.E.,"₹6,41,000",VITEEE,
"Government Engineering College, Samastipur ,Bihar - Other",4.2,BIHAR,B.Tech / B.E.,"₹4,13,000",-,
MBS College of Engineering & Technology,3.3,JAMMU & KASHMIR,B.Tech / B.E.,"₹1,80,000",-,
Vijaya Krishna Institute Of Technology & Science,4.2,TELANGANA,B.Tech / B.E.,Get Fee Details,"AP EAMCET, JEE Main",
Dhanekula Institute of Engineering and Technology,3.6,ANDHRA PRADESH,B.Tech / B.E.,"₹2,70,000",-,
Malwa Institute of Science & Technology,4,MADHYA PRADESH,B.Tech / B.E.,"₹2,57,000",PET Madhya Pradesh,28
"Shetty Institute of Technology ,Karnataka - Other",4.2,KARNATAKA,B.Tech / B.E.,"₹3,60,000",-,
Sri Rangapoopathi College of Engineering,4.2,TAMIL NADU,B.Tech / B.E.,Get Fee Details,TNEA,
Saroj Mohan Institute of Technology,2.5,WEST BENGAL,B.Tech / B.E.,Get Fee Details,WBJEE,
Progressive Engineering College,1,TELANGANA,B.Tech / B.E.,Get Fee Details,AP EAMCET,
Swarna Bharathi Institute of Science & Technology,4.2,TELANGANA,B.Tech / B.E.,Get Fee Details,-,
"Chhattisgarh College of Agricultural Engineering ,Durg",4.2,CHATTISGARH,B.Tech / B.E.,"₹1,50,000",-,
Poornima Group of Colleges,4.2,RAJASTHAN,B.Tech / B.E.,Get Fee Details,JEE Main,6
Anand International College of Engineering,5,RAJASTHAN,B.Tech / B.E.,Get Fee Details,RPET,
Sri Venkateswara College of Engineering & Technology,3.3,ANDHRA PRADESH,B.Tech / B.E.,"₹2,11,000",TNEA,
Sir JC Bose School of Engineering,4.2,WEST BENGAL,B.Tech / B.E.,Get Fee Details,"JEE Main, WBJEE",
Dr Bhim Rao Ambedkar Engineering College of Information Technology,3,UTTAR PRADESH,B.Tech / B.E.,Get Fee Details,UPSEE,
Annai Mira College of Engineering and Technology (AMCET),5,TAMIL NADU,B.Tech / B.E.,Get Fee Details,-,
Shree Institute of Technical Education,4.2,ANDHRA PRADESH,B.Tech / B.E.,Get Fee Details,AP EAMCET,
"Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, S.D.N.C.R.E.S ,Satara",4.2,MAHARASHTRA,B.Tech / B.E.,"₹1,92,000",-,
Dewan VS Institutes of Engineering and Technologies,4,UTTAR PRADESH,B.Tech / B.E.,Get Fee Details,TNEA,
Rayat Institute of Engineering & Information Technology,3,PUNJAB,B.Tech / B.E.,"₹4,60,000",JEE Main,8
Millia Institute of Technology - Purnea,4.5,BIHAR,B.Tech / B.E.,Get Fee Details,BCECE,
Maharaja Engineering College,4.2,TAMIL NADU,B.Tech / B.E.,"₹2,00,000",TNEA,
Vishwabharati Academys College of Engineering,2,MAHARASHTRA,B.Tech / B.E.,Get Fee Details,JEE Main,
Mumtaz College of Engineering & Technology,4.2,TELANGANA,B.Tech / B.E.,Get Fee Details,AP EAMCET,
"College of Technology and Engineering ,Udaipur",4.2,RAJASTHAN,B.Tech / B.E.,"₹1,96,000",-,10
Vishwakarma Government Engineering College,4.6,GUJARAT,B.Tech / B.E.,"₹6,000",-,9
Bonam Venkata Chalamayya Institute of Technology & Science,0,ANDHRA PRADESH,B.Tech / B.E.,"₹5,00,000",AP EAMCET,
"Krishna Vidyapeeth of Management and Technology ,Bhiwani",4.2,HARYANA,B.Tech / B.E.,"₹1,76,000",-,
Aryabhatt College of Engineering and Technology,2,RAJASTHAN,B.Tech / B.E.,"₹2,45,000",-,
Jain College,3.3,KARNATAKA,B.Tech / B.E.,"₹3,60,000",-,
Atmiya Institute of Technology & Science for Diploma Studies,4.2,GUJARAT,B.Tech / B.E.,Get Fee Details,GUJCET,
Aditya College,1,MAHARASHTRA,B.Tech / B.E.,"₹4,78,000",-,
TRR Engineering College for Women,4.2,TELANGANA,B.Tech / B.E.,Get Fee Details,AP EAMCET,
RVS Educational Institutions,4.2,TAMIL NADU,B.Tech / B.E.,Get Fee Details,-,
Jayamatha Engineering College,4,TAMIL NADU,B.Tech / B.E.,"₹2,00,000",TNEA,
Uttaranchal Institute of Technology,4,UTTARAKHAND,B.Tech / B.E.,"₹7,12,000","JEE Main, UK SEE",12
Progressive Engineering College,1,TELANGANA,B.Tech / B.E.,Get Fee Details,AP EAMCET,
"Mount Zion Institute of Science & Tehnology, Chengannur ,Kerala - Other",4.2,KERALA,B.Tech / B.E.,"₹2,00,000",-,
Exterior Interior Limited,4.2,TELANGANA,B.Tech / B.E.,Get Fee Details,-,
"Advanced Educational Institutions ,Palwal",4.2,HARYANA,B.Tech / B.E.,"₹2,95,000",-,
Global Academy of Technology,3.8,KARNATAKA,B.Tech / B.E.,Get Fee Details,"KCET, COMEDK UGET,",
Sir JC Bose School of Engineering,4.2,WEST BENGAL,B.Tech / B.E.,Get Fee Details,"JEE Main, WBJEE",
MITE - Mangalore Institute of Technology and Engineering,4.2,KARNATAKA,B.Tech / B.E.,"₹3,93,000",-,
Dewan VS Institutes of Engineering and Technologies,4,UTTAR PRADESH,B.Tech / B.E.,Get Fee Details,TNEA,
"Ashoka Institute of Technology and Management ,Chhattisgarh - Other",4.2,CHATTISGARH,B.Tech / B.E.,"₹1,50,000",-,
Rayat Bahra Group of Institutions - Hoshiarpur Campus,4.2,PUNJAB,B.Tech / B.E.,"₹3,92,000","CET Punjab, JEE Main",14
Sri Venkateswara University,4.1,ANDHRA PRADESH,B.Tech / B.E.,"₹44,000",AP EAMCET,12
"Meenakshi Ramaswamy Engineering College ,Tamil Nadu - Other",4.2,TAMIL NADU,B.Tech / B.E.,"₹2,00,000",-,
Delhi Institute of Engnieering Studies,5,DELHI NCR,B.Tech / B.E.,Get Fee Details,JEE Main,
Miracle Educational Society Group of Institutions,3.2,ANDHRA PRADESH,B.Tech / B.E.,"₹1,75,000",AP EAMCET,
Shree Institute of Technical Education,4.2,ANDHRA PRADESH,B.Tech / B.E.,Get Fee Details,AP EAMCET,
"Matoshri Pratishthan Group of Institutions ,Nanded",4.2,MAHARASHTRA,B.Tech / B.E.,"₹2,68,000",-,11
Usha Rama College of Engineering And Technology,3.7,ANDHRA PRADESH,B.Tech / B.E.,Get Fee Details,AP EAMCET,
Jaipur Institute of Engineering & Technology,5,RAJASTHAN,B.Tech / B.E.,"₹2,80,000",-,
Bonam Venkata Chalamayya Institute of Technology & Science,0,ANDHRA PRADESH,B.Tech / B.E.,"₹5,00,000",AP EAMCET,
Vishwakarma Government Engineering College,4.6,GUJARAT,B.Tech / B.E.,"₹6,000",-,9
"Kakinada Institute of Technological Sciences ,Andhra Pradesh - Other",4.2,ANDHRA PRADESH,B.Tech / B.E.,"₹2,01,000",-,
All India Shri Shivaji Memorial Society’s College Of Engineering,4,MAHARASHTRA,B.Tech / B.E.,Get Fee Details,-,
IASSCOM Fortune Institute of Technology,2,MADHYA PRADESH,B.Tech / B.E.,"₹1,82,500",-,
Sitamarhi Institute of Technology,4.2,BIHAR,B.Tech / B.E.,"₹38,000",-,
BRC Institute of Computer Science,4.2,PUNJAB,B.Tech / B.E.,"₹7,04,000",-,
TRR Engineering College for Women,4.2,TELANGANA,B.Tech / B.E.,Get Fee Details,AP EAMCET,
Sha-Shib College of Technology,4.2,MADHYA PRADESH,B.Tech / B.E.,"₹1,82,000",-,
DVR College of Engineering & Technology,4,TELANGANA,B.Tech / B.E.,"₹2,40,000",AP EAMCET,
"Shetty Institute of Technology ,Karnataka - Other",4.2,KARNATAKA,B.Tech / B.E.,"₹3,60,000",-,
Jasdev Singh Sandhu Institute of Engineering & Technology (JSSIET),4,PUNJAB,B.Tech / B.E.,Get Fee Details,JEE Main,
Gian Jyoti Group of Institutions,4,PUNJAB,B.Tech / B.E.,"₹3,11,500",JEE Main,
Miracle Educational Society Group of Institutions,3.2,ANDHRA PRADESH,B.Tech / B.E.,"₹1,75,000",AP EAMCET,
Chhattisgarh Institute of Technology,4.2,CHATTISGARH,B.Tech / B.E.,"₹2,65,500",-,
Adhunik College of Engineering,4.4,UTTAR PRADESH,B.Tech / B.E.,"₹1,98,500",-,
Chaitanya Engineering College,4,ANDHRA PRADESH,B.Tech / B.E.,Get Fee Details,AP EAMCET,
Sri Lakshmi Ammal Engineering College,3,TAMIL NADU,B.Tech / B.E.,"₹2,00,000",-,
A P J Abdul Kalam Technological University,4.2,KERALA,B.Tech / B.E.,Get Fee Details,-,
Ojaswini Institute of Management & Technology,4.2,MADHYA PRADESH,B.Tech / B.E.,Get Fee Details,-,
Adani Institute of Infrastructure Engineering (AIIE),5,GUJARAT,B.Tech / B.E.,"₹5,94,000",JEE Main,12
"Government Engineering College, Koppal",4.2,KARNATAKA,B.Tech / B.E.,"₹1,35,000",-,
Rishi Raj Institute of Technology,4.2,MADHYA PRADESH,B.Tech / B.E.,Get Fee Details,PET Madhya Pradesh,
Ganapathy Chettiar College of Engineering and Technology,4.8,TAMIL NADU,B.Tech / B.E.,Get Fee Details,TNEA,
Miracle Educational Society Group of Institutions,3.2,ANDHRA PRADESH,B.Tech / B.E.,"₹1,75,000",AP EAMCET,
Sri Rangapoopathi College of Engineering,4.2,TAMIL NADU,B.Tech / B.E.,Get Fee Details,TNEA,
Vishwakarma Government Engineering College,4.6,GUJARAT,B.Tech / B.E.,"₹6,000",-,9
"Swaminarayan College of Engineering and Technology, Kalol ,Gandhinagar",4.2,GUJARAT,B.Tech / B.E.,"₹2,12,000",-,
Padre Conceicao College of Engineering,3.4,GOA,B.Tech / B.E.,"₹5,76,000",-,
"Government Engineering College, Samastipur ,Bihar - Other",4.2,BIHAR,B.Tech / B.E.,"₹4,13,000",-,
"Surya Group of Institutions, Chennai ,villupuram",4.2,PUNJAB,B.Tech / B.E.,"₹1,90,000",-,
IASSCOM Fortune Institute of Technology,2,MADHYA PRADESH,B.Tech / B.E.,"₹1,82,500",-,
Jogaiah Institute of Technology & Sciences,4.2,ANDHRA PRADESH,B.Tech / B.E.,Get Fee Details,AP EAMCET,
Translam Institute of Technology and Management (TITM),4.2,UTTAR PRADESH,B.Tech / B.E.,Get Fee Details,UPSEE,
"State Institute of Engineering and Technology, Nilokheri ,Karnal",4.2,HARYANA,B.Tech / B.E.,"₹1,20,000",-,
"Amrapali Group of Institutes ,Haldwani",4.2,UTTARAKHAND,B.Tech / B.E.,"₹3,55,000",-,
"Canara Engineering College ,Mangalore",4.2,KARNATAKA,B.Tech / B.E.,"₹3,68,000",-,8
"Netaji Institute of Engineering and Technology ,Ramoji Film City, Hyderabad",4.2,TELANGANA,B.Tech / B.E.,"₹1,68,000",-,
Techwords Wali Gramodyog Vikas Sansthan's Group of Institutions,4.2,UTTARAKHAND,B.Tech / B.E.,Get Fee Details,"UK SEE, JEE Main",
Durgabai Deshmukh College,3.3,TELANGANA,B.Tech / B.E.,"₹6,000",-,
"Wainganga College of Engineering and Management ,Nagpur",4.2,MAHARASHTRA,B.Tech / B.E.,"₹3,52,000",-,
IASSCOM Fortune Institute of Technology,2,MADHYA PRADESH,B.Tech / B.E.,"₹1,82,500",-,
Dr. KN Modi University,4.2,UTTAR PRADESH,B.Tech / B.E.,Get Fee Details,-,
Ranippettai Engineering College,4.2,TAMIL NADU,B.Tech / B.E.,Get Fee Details,-,
LVE Saptagiri College of Engineering,4,TAMIL NADU,B.Tech / B.E.,"₹2,00,000",-,
Yugantar Institute of Technology & Management,4.2,CHATTISGARH,B.Tech / B.E.,Get Fee Details,"JEE Main, CG PET",
"Vishveshwarya Institute of Technology ,Noida",4.2,UTTAR PRADESH,B.Tech / B.E.,"₹2,20,000",-,
Techwords Wali Gramodyog Vikas Sansthan's Group of Institutions,4.2,UTTARAKHAND,B.Tech / B.E.,Get Fee Details,"UK SEE, JEE Main",
GVP College for Post Graduate Courses,4.2,ANDHRA PRADESH,B.Tech / B.E.,"₹3,70,000",-,
"College of Agriculture Engineering, Jalgaon",4.2,MAHARASHTRA,B.Tech / B.E.,"₹2,40,000",-,
Adesh Institute of Technology,5,PUNJAB,B.Tech / B.E.,Get Fee Details,JEE Main,
Sitamarhi Institute of Technology,4.2,BIHAR,B.Tech / B.E.,"₹38,000",-,
National Institute of Technology (NIT) - Goa,4.8,GOA,B.Tech / B.E.,Get Fee Details,"JEE Main, JEE Advanced",
VIT AP University,4.3,ANDHRA PRADESH,B.Tech / B.E.,"₹6,41,000",VITEEE,
Jagruti Institute of Engineering and Technology (JIET),4,TELANGANA,B.Tech / B.E.,Get Fee Details,AP EAMCET,
IMS Engineering College,4.6,UTTAR PRADESH,B.Tech / B.E.,"₹5,23,000",12th Board,7
Invertis University,4,UTTAR PRADESH,B.Tech / B.E.,"₹3,86,000",JEE Main,
A P J Abdul Kalam Technological University,4.2,KERALA,B.Tech / B.E.,Get Fee Details,-,
Success Assured Institute,4.2,MAHARASHTRA,B.Tech / B.E.,Get Fee Details,-,
Techno INDIA NJR Institute of Technology,4.6,RAJASTHAN,B.Tech / B.E.,Get Fee Details,"RPET, JEE Main",
Techwords Wali Gramodyog Vikas Sansthan's Group of Institutions,4.2,UTTARAKHAND,B.Tech / B.E.,Get Fee Details,"UK SEE, JEE Main",
Arya Institute of Engineering & Technology (AIET),4,RAJASTHAN,B.Tech / B.E.,Get Fee Details,"JEE Main, RPET",
"Dadi Institute of Engineering and Technology ,Visakhapatnam",4.2,ANDHRA PRADESH,B.Tech / B.E.,"₹1,40,000",-,
Monad University,3.8,UTTAR PRADESH,B.Tech / B.E.,"₹5,52,500",-,
Leads Institute of Technology & Engineering,4.2,GUJARAT,B.Tech / B.E.,Get Fee Details,GUJCET,
National Institute of Technology (NIT) - Goa,4.8,GOA,B.Tech / B.E.,Get Fee Details,"JEE Main, JEE Advanced",
Aditya College of Technology & Science,4.2,MADHYA PRADESH,B.Tech / B.E.,Get Fee Details,-,
"Government College of Engineering, Vaishali",4.2,BIHAR,B.Tech / B.E.,Get Fee Details,-,
Invertis University,4,UTTAR PRADESH,B.Tech / B.E.,"₹3,86,000",JEE Main,
Arya College of Engineering & Research Centre (ACERC),3,RAJASTHAN,B.Tech / B.E.,Get Fee Details,RPET,
Manav Bharti University,3.9,HIMACHAL PRADESH,B.Tech / B.E.,"₹3,40,000",JEE Main,
Prem Prakash Gupta Institute of Management,4.2,UTTAR PRADESH,B.Tech / B.E.,Get Fee Details,UPSEE,
Chandigarh University - UP,4.2,UTTAR PRADESH,B.Tech / B.E.,Get Fee Details,-,
Regional College for Education Research & Technology,4.5,RAJASTHAN,B.Tech / B.E.,"₹2,80,000",-,
Sha-Shib College of Technology,4.2,MADHYA PRADESH,B.Tech / B.E.,"₹1,82,000",-,
IMS Engineering College,4.6,UTTAR PRADESH,B.Tech / B.E.,"₹5,23,000",12th Board,7
Dev Bhoomi Group of Institutions (DBGI Saharanpur),4.2,UTTAR PRADESH,B.Tech / B.E.,"₹2,20,000",-,
G Madegowda Institute of Technology,1,KARNATAKA,B.Tech / B.E.,"₹2,85,500",Highest Package,
"Tulsiramji Gaikwad-Patil College of Engineering and Technology ,Nagpur",4.2,MAHARASHTRA,B.Tech / B.E.,"₹3,60,000",-,
IMS Engineering College,4.6,UTTAR PRADESH,B.Tech / B.E.,"₹5,23,000",12th Board,7
Babu Banarsi Das National Institute of Technology & Management,4,UTTAR PRADESH,B.Tech / B.E.,Get Fee Details,"UPSEE, JEE Advanced",
Sitamarhi Institute of Technology,4.2,BIHAR,B.Tech / B.E.,"₹38,000",-,
"University of Technology ,Jaipur",4.2,RAJASTHAN,B.Tech / B.E.,"₹3,25,000",-,
Gurukul Vidyapeeth Institute of Engineering and Technology,5,PUNJAB,B.Tech / B.E.,Get Fee Details,JEE Main,
Panchkula Engineering College,2.5,HARYANA,B.Tech / B.E.,Get Fee Details,JEE Main,10
Karpagam Institute of Technology,3,TAMIL NADU,B.Tech / B.E.,"₹4,00,000",JEE Main,6
"College of Agriculture Engineering, Jalgaon",4.2,MAHARASHTRA,B.Tech / B.E.,"₹2,40,000",-,
Softdot Hi - Tech Educational and Training Institute,4.2,DELHI NCR,B.Tech / B.E.,Get Fee Details,-,
SLBS Engineering College,0,RAJASTHAN,B.Tech / B.E.,Get Fee Details,RPET,
Aryans Group of Colleges,3.8,PUNJAB,B.Tech / B.E.,"₹1,34,000",-,
Anjalai Ammal-Mahalingam Engineering College,4,TAMIL NADU,B.Tech / B.E.,"₹2,56,000",TNEA,
SRK University,2.7,MADHYA PRADESH,B.Tech / B.E.,Get Fee Details,-,
Lamrin Tech Skill University,1,PUNJAB,B.Tech / B.E.,"₹2,19,500",-,
"S.G.Balekundri Institute Of Technology - SGBIT ,Belgaum",4.2,KARNATAKA,B.Tech / B.E.,"₹3,80,000",-,
Sri Lakshmi Ammal Engineering College,3,TAMIL NADU,B.Tech / B.E.,"₹2,00,000",-,
