college_name,rating,location,courses_offered,tution_fee,exams_accepted,highest_package
Indian Institute of Information Technology and Management - IIITM,3.9,Madhya Pradesh,B.Tech / B.E.,Get Fee Details,JEE Main,26
National Institute of Technology (NIT),4.4,Himachal Pradesh,B.Tech / B.E.,"₹5,01,000","JEE Main, JEE Advanced",112
Pandit Deendayal Energy University (PDEU),4.4,Gujarat,B.Tech / B.E.,"₹9,97,000",JEE Main,19
National Institute of Technology (NIT) - Puducherry,2.7,Puducherry,B.Tech / B.E.,"₹2,01,500","JEE Main, JEE Advanced",44
Sri Krishna College of Engineering and Technology - SKCET,3.6,Tamil Nadu,B.Tech / B.E.,"₹2,20,000",TNEA,8
Institute of Engineering and Management,4,WEST BENGAL,B.Tech / B.E.,"₹4,00,000",JEE Main,10
Dr MGR educational and research institute,4.2,TAMIL NADU,B.Tech / B.E.,"₹3,20,000",-,
Dr MGR educational and research institute,4.2,TAMIL NADU,B.Tech / B.E.,"₹3,20,000",-,
Vellore Institute of Technology - VIT University,4.1,TAMIL NADU,B.Tech / B.E.,"₹7,16,500",JEE Main,120
Birla Institute of Technology - BIT Mesra,3.7,JHARKHAND,B.Tech / B.E.,"₹10,00,000",JEE Main,27
Alliance University,3.8,KARNATAKA,B.Tech / B.E.,"₹11,09,000",JEE Main,18
KJ Somaiya College of Engineering (KJSCE),4.1,MAHARASHTRA,B.Tech / B.E.,"₹11,44,000","Maharashtra CET, JEE Main",13
Nirma University - [NU],4.1,GUJARAT,B.Tech / B.E.,"₹6,44,000",JEE Main,88
Hindustan University,4.1,TAMIL NADU,B.Tech / B.E.,"₹10,00,000",Highest Package,15
KL University (KLU),4,ANDHRA PRADESH,B.Tech / B.E.,"₹10,20,500",JEE Main,57
Indira Gandhi Delhi Technical University for Women (IGDTUW),3.3,DELHI NCR,B.Tech / B.E.,"₹5,24,000",JEE Main,70
National Institute of Technology (NIT) - Uttarakhand,4.2,UTTARAKHAND,B.Tech / B.E.,"₹2,57,500","JEE Main, JEE Advanced",
SRM University Chennai (SRM Institute of Science and Technology),3.9,TAMIL NADU,B.Tech / B.E.,"₹10,10,000",SRMJEEE,42
Harcourt Butler Technological University (HBTU),4.3,UTTAR PRADESH,B.Tech / B.E.,"₹3,33,000","JEE Main, CUET, UPSEE",9
VNR Vignana Jyothi Institute of Engineering & Technology,3.9,TELANGANA,B.Tech / B.E.,"₹5,40,000","AP EAMCET, JEE Main",10
Dayananda Sagar College of Engineering (DSCE),4.1,KARNATAKA,B.Tech / B.E.,"₹2,54,500",KCET,30
KIET Group of Institutions,4.5,UTTAR PRADESH,B.Tech / B.E.,"₹4,82,000",JEE Main,32
National Institute of Engineering (NIE),4.5,KARNATAKA,B.Tech / B.E.,"₹5,87,500",KCET,29
Govt Model Engineering College (MEC),5,KERALA,B.Tech / B.E.,"₹1,22,500",KEAM,24
Bannari Amman Institute of Technology,4.2,TAMIL NADU,B.Tech / B.E.,"₹2,98,000",TNEA,26
BMS College of Engineering (BMSCE),4.1,KARNATAKA,B.Tech / B.E.,"₹3,50,000","COMEDK UGET, KCET",45
Mepco Schlenk Engineering College,4.1,TAMIL NADU,B.Tech / B.E.,"₹1,80,000",TNEA,14
National Institute of Technology- NIT,4.5,Kerala,B.Tech / B.E.,"₹5,47,000","JEE Main, JEE Advanced",16
Siksha O Anusandhan University (SOA),3.2,Odisha,B.Tech / B.E.,Get Fee Details,JEE Main,22
Amrita Vishwa Vidyapeetham University,4.2,Tamil Nadu,B.Tech / B.E.,"₹19,40,000",JEE Main,5
Jamia Millia Islamia University,4.2,Delhi NCR,B.Tech / B.E.,"₹64,500",-,20
Indian Institute Of Technology,1,Gujarat,B.Tech / B.E.,"₹8,71,000","JEE Advanced, JEE Main",62
Indian Institute of Technology- IIT Mandi,4,Himachal Pradesh,B.Tech / B.E.,"₹7,84,000","JEE Advanced, JEE Main",26
Indian Institute of Technology (IIT),4.2,Rajasthan,B.Tech / B.E.,"₹1,14,000","JEE Advanced, JEE Main",57
National institute of Technology (NIT) Warangal,3.9,Telangana,B.Tech / B.E.,"₹5,00,000","JEE Main, JEE Advanced",14
Thapar Institute of Engineering and Technology,4.5,Punjab,B.Tech / B.E.,"₹10,00,000",JEE Main,55
Delhi Technological University (DTU),4.3,Delhi NCR,B.Tech / B.E.,"₹3,36,000",JEE Main,39
Chandigarh University (CU),4.3,Punjab,B.Tech / B.E.,Get Fee Details,-,
Indian Institute of Technology,5,Punjab,B.Tech / B.E.,"₹8,12,000","JEE Advanced, JEE Main",55
Kalasalingam University,3.9,Tamil Nadu,B.Tech / B.E.,"₹4,00,000",TNEA,
Aligarh Muslim University,4.5,Uttar Pradesh,B.Tech / B.E.,Get Fee Details,-,
Koneru Lakshmaiah Education Foundation,4.4,Andhra Pradesh,B.Tech / B.E.,"₹9,90,000",-,
Kalinga Institute of Industrial Technology (KIIT),4.3,Odisha,B.Tech / B.E.,"₹9,43,000",JEE Main,63
"Amity University, Noida",4,Uttar Pradesh,B.Tech / B.E.,"₹13,64,500",JEE Main,18
International Institute of Information Technology (IIIT) - Hyderabad (IIIT Hyderabad),4,Telangana,B.Tech / B.E.,Get Fee Details,JEE Main,45
Indian Institute of Technology- IIT Bhubaneswar,5,Odisha,B.Tech / B.E.,"₹9,35,000","JEE Advanced, JEE Main",39
Shanmugha Arts Science Technology & Research Academy (SASTRA University),3.8,Tamil Nadu,B.Tech / B.E.,"₹5,30,000",JEE Main,15
Motilal Nehru National Institute of Technology (MNNIT),4.2,Uttar Pradesh,B.Tech / B.E.,"₹2,96,000","JEE Main, JEE Advanced",11
Indraprastha Institute of Information Technology (IIIT),4.7,Delhi NCR,B.Tech / B.E.,"₹4,00,000",JEE Main,71
Indian Institute of Technology Palakkad,5,Kerala,B.Tech / B.E.,"₹8,00,000","JEE Advanced, JEE Main",46
National Institute of Technology (NIT),4,Delhi NCR,B.Tech / B.E.,"₹1,08,000","JEE Main, JEE Advanced",82
Sardar Vallabhbhai National Institute of Technology,4.4,Gujarat,B.Tech / B.E.,Get Fee Details,"JEE Main, JEE Advanced",44
Sathyabama Institute of Science and Technology,3,Tamil Nadu,B.Tech / B.E.,"₹7,55,000",JEE Main,4
PSG College of Technology (PSGCT),4.6,Tamil Nadu,B.Tech / B.E.,"₹2,20,000",TNEA,35
International Institute of Information Technology (IIIT),4,Karnataka,B.Tech / B.E.,"₹3,82,000","KCET, JEE Main, COMEDK UGET",130
Netaji Subhas University of Technology - NSUT,4.1,Delhi NCR,B.Tech / B.E.,"₹8,44,000",JEE Main,27
Banasthali Vidyapith,4.5,Rajasthan,B.Tech / B.E.,"₹5,74,500",JEE Main,5
Indian Institute of Technology (IIT Bhilai),4.2,Chattisgarh,B.Tech / B.E.,"₹8,83,500","JEE Main, JEE Main, JEE Advanced",
National Institute of Technology (NIT),4.1,Jammu & Kashmir,B.Tech / B.E.,"₹3,10,000","JEE Main, JEE Advanced",72
University of Hyderabad,4.2,Telangana,B.Tech / B.E.,"₹80,000",JEE Main,23
MS Ramaiah Institute of Technology (MSRIT),3.9,Karnataka,B.Tech / B.E.,"₹4,48,500","KEAM, COMEDK UGET",50
Christ University (CU),4.1,Karnataka,B.Tech / B.E.,"₹8,12,500","KEAM, COMEDK UGET",36
Indian Institute of Information Technology (IIIT Dharwad),3.3,Karnataka,B.Tech / B.E.,"₹10,00,000",JEE Main,
Rajiv Gandhi Institute of Petroleum Technology,4.2,Uttar Pradesh,B.Tech / B.E.,Get Fee Details,JEE Main,
Sant Longowal Institute of Engineering & Technology,4,Punjab,B.Tech / B.E.,"₹4,24,000",JEE Main,19
Vignans Foundation for Science Technology and Research,3.4,Andhra Pradesh,B.Tech / B.E.,"₹10,40,000","AP EAMCET, JEE Main,",44
Maulana Azad National Institute of Technology (MANIT),4,Madhya Pradesh,B.Tech / B.E.,"₹2,33,000","JEE Main, JEE Advanced",24
Bannari Amman Institute of Technology,4.2,TAMIL NADU,B.Tech / B.E.,"₹2,98,000",TNEA,26
Chaitanya Bharathi Institute of Technology,4.2,TELANGANA,B.Tech / B.E.,"₹5,60,000","AP EAMCET, JEE Main",8
Zakir Husain College of Engineering & Technology,4.5,UTTAR PRADESH,B.Tech / B.E.,"₹72,000",-,6
CVR College of Engineering,4,TELANGANA,B.Tech / B.E.,"₹7,50,000","AP EAMCET, JEE Main",58
Birla Institute of Technology and Science - BITS,3.9,RAJASTHAN,B.Tech / B.E.,"₹12,91,500",BITSAT,133
PES College of Engineering - PESCE,3.7,KARNATAKA,B.Tech / B.E.,"₹8,80,000",KCET,9
GL Bajaj Institute of Technology and Management,4.2,UTTAR PRADESH,B.Tech / B.E.,"₹2,40,000",JEE Main,
Vishwakarma Institute of Information Technology (VIIT),4.1,MAHARASHTRA,B.Tech / B.E.,"₹7,37,500",JEE Main,41
Bharati Vidyapeeth University College of Engineering,3.7,MAHARASHTRA,B.Tech / B.E.,"₹3,96,000",JEE Main,12
MLR Institute of Technology,3.9,TELANGANA,B.Tech / B.E.,"₹2,80,000","AP EAMCET, JEE Main",10
CMR College of Engineering & Technology,4.4,TELANGANA,B.Tech / B.E.,"₹3,00,000","AP EAMCET, JEE Main",58
Army Institute of Technology,3.1,MAHARASHTRA,B.Tech / B.E.,"₹8,44,000",JEE Main,39
RMK College of Engineering and Technology,3.8,TAMIL NADU,B.Tech / B.E.,"₹2,76,500",TNEA,7
Maharaja Surajmal Institute of Technology (MSIT),3.8,DELHI NCR,B.Tech / B.E.,"₹5,75,500",JEE Main,39
Galgotias University,4,UTTAR PRADESH,B.Tech / B.E.,"₹6,57,000",JEE Main,10
The NorthCap University - [NCU],4,HARYANA,B.Tech / B.E.,"₹9,84,000",JEE Main,31
Cummins College of Engineering for Women,4.3,MAHARASHTRA,B.Tech / B.E.,"₹6,73,500",JEE Main,10
Vidya Jyothi Institute of Technology (VJIT),3.9,TELANGANA,B.Tech / B.E.,"₹4,60,000",AP EAMCET,8
Chandigarh Group of Colleges - Landran (CGC Landran),4.2,PUNJAB,B.Tech / B.E.,"₹5,76,000",JEE Main,55
MVSR Engineering College,4.1,TELANGANA,B.Tech / B.E.,"₹4,84,000",AP EAMCET,15
VR Siddhartha Engineering College,4,ANDHRA PRADESH,B.Tech / B.E.,"₹4,48,000",AP EAMCET,45
Sikkim Manipal University,3.7,SIKKIM,B.Tech / B.E.,"₹6,16,000",MU OET,
Vivekananda Global University- VGU,4.6,RAJASTHAN,B.Tech / B.E.,"₹6,57,000",JEE Main,10
GMR Institute of Technology,2.9,ANDHRA PRADESH,B.Tech / B.E.,"₹4,56,000",AP EAMCET,11
Malla Reddy College of Engineering & Technology,4.1,TELANGANA,B.Tech / B.E.,Get Fee Details,"AP EAMCET, JEE Main",56
Galgotias College of Engineering & Technology (GCET),4.2,UTTAR PRADESH,B.Tech / B.E.,"₹4,54,500","JEE Main, UPSEE",12
KCG College of Technology,4.2,TAMIL NADU,B.Tech / B.E.,"₹2,20,000",TNEA,9
AMC Engineering College (AMCEC),3.7,KARNATAKA,B.Tech / B.E.,"₹5,00,000","COMEDK UGET, JEE Main,",21
Reva University,4.2,KARNATAKA,B.Tech / B.E.,"₹6,91,500",CUET,14
KLS Gogte Institute of Technology,1,KARNATAKA,B.Tech / B.E.,"₹3,86,000",KCET,
JIS College of Engineering,4.3,WEST BENGAL,B.Tech / B.E.,"₹4,06,500","JEE Main, WBJEE",8
RMD Engineering College,3.8,TAMIL NADU,B.Tech / B.E.,Get Fee Details,TNEA,
Maharishi Markandeshwar University - MMU,3.8,HARYANA,B.Tech / B.E.,"₹3,91,000",JEE Main,24
Heritage Institute of Technology,4,WEST BENGAL,B.Tech / B.E.,"₹5,08,000","JEE Main, WBJEE",3
GH Raisoni College of Engineering,3.7,MAHARASHTRA,B.Tech / B.E.,"₹1,10,000",JEE Main,8
Rajeev Gandhi Memorial College of Engineering and technology (RGMCET),3.8,ANDHRA PRADESH,B.Tech / B.E.,"₹3,04,000",AP EAMCET,7
Shri Vishnu Engineering College for Women,5,ANDHRA PRADESH,B.Tech / B.E.,"₹3,08,000",AP EAMCET,
Muffakham Jah College of Engineering & Technology,3.6,TELANGANA,B.Tech / B.E.,"₹4,40,000",AP EAMCET,
Siddhartha Institute of Engineering and Technology,3.8,TELANGANA,B.Tech / B.E.,Get Fee Details,AP EAMCET,12
Narula Institute of Technology,4.2,WEST BENGAL,B.Tech / B.E.,"₹4,08,000","WBJEE, JEE Main",6
DY Patil College of Engineering (DYPCOE),4.4,MAHARASHTRA,B.Tech / B.E.,"₹5,36,000",Maharashtra CET,45
Noorul Islam University,1.5,TAMIL NADU,B.Tech / B.E.,"₹2,60,000",-,
Amity University- Mumbai,4.1,MAHARASHTRA,B.Tech / B.E.,"₹10,26,000","JEE Main, CUET",30
Jawaharlal Nehru National College of Engineering,4,KARNATAKA,B.Tech / B.E.,"₹3,86,000",-,
Ajay Kumar Garg Engineering College,3.8,UTTAR PRADESH,B.Tech / B.E.,Get Fee Details,UPSEE,20
ISB&M School of Technology,5,MAHARASHTRA,B.Tech / B.E.,"₹3,52,000",JEE Main,11
ICFAI Tech School (ICFAI Hyderabad),4,TELANGANA,B.Tech / B.E.,"₹8,05,000",Highest Package,14
AISSMS College of Engineering,4.2,MAHARASHTRA,B.Tech / B.E.,"₹4,42,500","JEE Main, Maharashtra CET",12
NSHM Knowledge Campus (Durgapur),4.2,WEST BENGAL,B.Tech / B.E.,"₹3,04,000",-,
Stanley College of Engineering & Technology for Women,5,TELANGANA,B.Tech / B.E.,Get Fee Details,AP EAMCET,
National Institute of Technology (NIT),4.5,TRIPURA,B.Tech / B.E.,"₹5,33,500","JEE Main, JEE Advanced",52
Velammal Institute of Technology,4.2,TAMIL NADU,B.Tech / B.E.,Get Fee Details,TNEA,
Gandhi Institute of Engineering and Technology,4.8,ODISHA,B.Tech / B.E.,"₹5,40,000",JEE Main,8
Veltech Dr.RR & Dr.SR University,4,TAMIL NADU,B.Tech / B.E.,"₹7,60,000",TNEA,7
Indian Institute of Information Technology (IIIT),4.2,UTTAR PRADESH,B.Tech / B.E.,"₹6,29,500",JEE Main,65
Chhatrapati Shivaji Maharaj University,4.2,MAHARASHTRA,B.Tech / B.E.,"₹5,10,000",-,
Saraswati College of Engineering - Khargar,4.8,MAHARASHTRA,B.Tech / B.E.,"₹4,60,000",Maharashtra CET,12
Guru Gobind Singh Indraprastha University (IPU),3.9,DELHI NCR,B.Tech / B.E.,"₹4,69,000",-,
Jaipur Engineering College & Research Centre,4.3,RAJASTHAN,B.Tech / B.E.,"₹80,500","RPET, JEE Main",10
Velammal College of Engineering and Technology,1,TAMIL NADU,B.Tech / B.E.,"₹2,00,000",TNEA,9
Sagi Ramakrishnam Raju Engineering College - SRKR,4.2,ANDHRA PRADESH,B.Tech / B.E.,"₹2,65,500",AP EAMCET,47
Galgotias University,4,UTTAR PRADESH,B.Tech / B.E.,"₹6,57,000",JEE Main,10
Chandigarh Group of Colleges - Landran (CGC Landran),4.2,PUNJAB,B.Tech / B.E.,"₹5,76,000",JEE Main,55
The NorthCap University - [NCU],4,HARYANA,B.Tech / B.E.,"₹9,84,000",JEE Main,31
MVSR Engineering College,4.1,TELANGANA,B.Tech / B.E.,"₹4,84,000",AP EAMCET,15
Cummins College of Engineering for Women,4.3,MAHARASHTRA,B.Tech / B.E.,"₹6,73,500",JEE Main,10
Sona College of Technology,3.5,TAMIL NADU,B.Tech / B.E.,"₹1,94,500",TNEA,7
Manav Rachna International Institute of Research and Studies,4,HARYANA,B.Tech / B.E.,"₹7,35,000","JEE Main, MRNAT",12
